,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
32,vdhap_in,20.84621,19.00156,19.49268,19.4669,19.45097,19.44896,19.45116,19.45251,19.45517,19.45598,19.4566,19.46454,19.47457,19.48745,20.29747
33,vgap_in,20.84621,19.00156,19.49268,19.4669,19.45097,19.44896,19.45116,19.45251,19.45517,19.45598,19.4566,19.46454,19.47457,19.48745,20.29747
34,vpga_in,20.84621,19.00156,19.49268,19.4669,19.45097,19.44896,19.45116,19.45251,19.45517,19.45598,19.4566,19.46454,19.47457,19.48745,20.29747
35,vpga_use,0.006470985,0.01256856,0.009703428,0.009796939,0.009856912,0.009866214,0.009856182,0.009851096,0.009841077,0.009838042,0.009835699,0.009805792,0.00976813,0.009736198,0.00808931
36,Vbf1,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4844,191.361,191.1883,190.3874,115.6083
37,Vbf2,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
38,Vbf3,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
39,Vbf4,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
40,Vbf5,38.17446,65.95825,71.8267,72.31471,72.5842,73.01916,72.59012,72.56132,72.51177,72.50082,72.48561,72.35329,72.18608,71.65343,43.98727
41,Vbf6,61.98421,108.5645,118.8857,119.0098,118.9729,119.2197,118.9393,118.977,118.9906,118.9921,118.9985,119.0077,119.0022,118.7339,71.621
42,Vbf7,61.98422,108.5653,118.8857,119.0098,118.9729,119.2197,118.9393,118.977,118.9906,118.9921,118.9997,119.0077,119.0022,118.7339,71.621
43,Vbf8,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
44,Vbf9,100.1587,174.5201,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
45,Vbf10,100.1586,174.5176,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4934,191.4839,191.361,191.1884,190.3874,115.6083
46,Vbf11,59.37044,103.2094,112.6777,113.1498,113.3654,113.8446,113.356,113.3475,113.3108,113.302,113.2917,113.1821,113.0362,112.4639,68.49594
47,Vqi,123.9684,217.1263,237.7714,238.0195,237.9459,238.4394,237.8786,237.954,237.9811,237.9842,237.997,238.0154,238.0045,237.4679,143.242
48,Vipc,12043.61,21040.1,23018.82,23110.42,23159.74,23244.96,23158.63,23155.48,23146.54,23147.02,23141.21,23117.5,23087.8,22972.31,13906.75
49,Vicp,12040.97,21034.89,23010.46,23098.56,23145.39,23230.49,23144.1,23141.39,23132.9,23133.5,23127.83,23105.28,23077.01,22964.75,13903.65
50,Vinc,50.23447,99.29011,159.2788,226.5561,274.3357,276.6207,277.8268,269.3227,260.8186,258.2996,255.7806,233.4051,206.0654,144.053,58.92539
51,Vinp,55.52231,109.7417,176.0449,250.4041,303.2131,305.7387,307.0717,297.6724,288.2732,285.489,282.7049,257.974,227.7565,159.2165,65.12806
52,Vdp,45.29671,91.27359,153.1904,223.9818,274.2733,276.626,277.9511,268.9959,260.0446,257.3911,254.7416,231.1905,202.4164,137.1871,53.27237
53,Vdc,45.28679,91.25098,153.1348,223.8668,274.1033,276.4538,277.7767,268.8322,259.8912,257.2408,254.5943,231.0683,202.3217,137.142,53.26052
54,Vfp,7.587473,13.25526,14.50185,14.55956,14.59064,14.64433,14.58994,14.58795,14.58232,14.58262,14.57896,14.56402,14.54532,14.47255,8.761252
55,Vfc,7.585811,13.25198,14.49659,14.55209,14.5816,14.63521,14.58079,14.57908,14.57373,14.57411,14.57053,14.55633,14.53851,14.46779,8.759302
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.3362,1.517592,1.764668,1.765311,1.765069,1.764464,1.76508,1.765089,1.765131,1.765141,1.765152,1.765276,1.76543,1.760077,1.355332
58,VgPQH2,437.9899,242.0359,380.2953,808.2288,897.7512,689.4636,714.9456,644.2105,758.3485,363.7512,1426.762,789.2191,551.8828,946.1039,357.1564
59,Vbf12,-1.910131e-08,1.345832e-06,-1.258526e-08,1.063977e-07,-5.920648e-08,-1.747474e-10,6.183331e-09,8.788781e-10,-4.041817e-12,7.308558e-08,3.60819e-07,1.648981e-08,7.872684e-11,-5.126662e-08,3.4836e-09
60,Vbf13,-5.177338e-09,3.727263e-07,-2.887395e-09,4.123037e-08,-2.652008e-08,-7.823792e-11,2.419407e-09,3.087337e-10,-1.777009e-12,3.154243e-08,1.527983e-07,6.696093e-09,-7.694013e-12,-1.577193e-08,9.451966e-10
