,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
109,v2_01_2,126.1748,76.37421,79.83408,126.1105,104.1465,126.1972,184.8548,127.9353,141.0895,123.489,152.6517,100.7866,72.58547
110,v2_02_2,2691.447,1831.538,655.9507,1780.855,299.3117,1518.343,5979.281,1678.79,13454.03,1278.675,3750.655,1051.075,1797.318
111,vr2_00_1,0.0001460906,0.0003618225,0.0009918706,0.002176913,0.001880693,0.002331025,0.002473096,0.00234366,0.0004901347,0.002307037,0.002418227,0.001498976,0.0002520204
112,vr2_01_1,0.0008168839,0.0006188776,0.0007972071,0.001914667,0.001427945,0.001913402,0.0038672,0.001952005,0.001611729,0.001844985,0.002731884,0.001246435,0.000524781
113,vr2_02_1,0.02025859,0.02485274,0.01548973,0.06254939,0.008521543,0.05507957,0.2197053,0.06101279,0.2099188,0.04603983,0.1374368,0.03061393,0.02009732
114,vr2_1,0.02122157,0.02583344,0.01727881,0.06664097,0.01183018,0.05932399,0.2260456,0.06530845,0.2120207,0.05019185,0.1425869,0.03335934,0.02087412
115,vr2_00_2,19.56784,27.14676,44.27424,64.17994,66.33907,66.76767,68.22784,66.84427,31.5016,66.8083,67.33325,53.82233,22.89474
116,vr2_01_2,109.416,46.43304,35.58503,56.44837,50.36898,54.80568,106.6884,55.67377,103.5879,53.42797,76.06672,44.75459,47.67362
117,vr2_02_2,2713.5,1864.647,691.4168,1844.086,300.5867,1577.647,6061.236,1740.165,13491.76,1333.244,3826.796,1099.226,1825.737
118,vr2_2,2842.484,1938.227,771.276,1964.715,417.2948,1699.221,6236.152,1862.683,13626.85,1453.48,3970.196,1197.803,1896.305
119,vP680qU,0.01646675,0.09073502,0.8442086,1.06993,11.92323,2.758171,0.7850436,2.710637,0.307519,4.061003,0.9626897,0.8917067,0.06005603
120,vP680qA,0.01670811,0.09209862,0.8568144,1.083026,12.07104,2.789816,0.7934175,2.741813,0.308528,4.109213,0.9732111,0.904179,0.06096901
121,vU_P680,36.77338,65.01297,110.8058,159.9769,177.6394,168.6944,166.7626,168.7527,76.84561,170.3139,166.5229,134.3617,53.95621
122,vP680_d,0.01646436,0.090735,0.8442086,1.069882,11.92323,2.75817,0.7850464,2.710637,0.3075363,4.061002,0.9626901,0.8917036,0.06005592
123,vP680_f,6.860084e-05,3.072555e-08,-1.290014e-08,5.18293e-05,-8.641642e-09,-0.002448135,1.923923e-05,-6.996569e-05,0.007031866,-0.001581563,-1.183418e-06,5.118653e-06,4.615223e-07
124,Vva,0.0,0.0,0.0,0.001260416,0.02363001,0.02485895,0.02500871,0.02508284,0.0,0.02481326,0.02262321,0.0,0.0
125,Vaz,0.0,0.0,0.0,5.304019e-05,0.03294714,0.04393537,0.04689123,0.05004318,0.0,0.06038085,0.02782685,0.0,0.0
126,Vza,1.10384e-11,1.900542e-11,9.176268e-12,5.315344e-05,0.0329468,0.04393567,0.04688661,0.05004266,4.967083e-20,0.06038068,0.02782677,3.041045e-11,2.115755e-11
127,Vav,2.405491e-10,3.916732e-10,1.993048e-10,0.001261731,0.02362961,0.02485877,0.02500325,0.02508246,2.070926e-18,0.02481308,0.02262311,6.091806e-10,4.311395e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,2.271344e-10,-1.49334e-12,-3.272449e-14,-2.312181e-11,-1.430433e-17,-3.519334e-11,5.594608e-11,-1.379804e-12,-3.224651e-13,-1.034753e-11,-3.83463e-12,1.009151e-11,2.245862e-11
132,ve2FBPase,4.509638e-11,-5.379228e-13,8.804805e-13,-5.636957e-12,5.315622e-19,-4.441395e-12,-9.023126e-12,3.318472e-14,-3.035653e-14,-9.982099e-13,-5.482417e-13,2.980821e-12,2.003637e-11
133,ve2SBPase,1.667133e-10,-4.627873e-12,3.462764e-12,-2.580559e-11,2.27738e-18,-1.902088e-11,-3.788431e-11,-9.63154e-14,-1.368916e-13,-5.007991e-12,-2.384471e-12,1.243528e-11,8.424746e-11
134,ve2PRK,2.274668e-10,-9.159045e-13,2.019488e-14,-1.640781e-11,-2.115494e-17,-3.314751e-11,6.565306e-11,-1.691668e-12,-3.158012e-13,-9.848035e-12,-3.734783e-12,9.112432e-12,1.159782e-11
135,ve2ATPase,2.560374e-11,-1.030271e-13,2.269795e-15,-1.846496e-12,-2.377635e-18,-3.728094e-12,7.384511e-12,-1.902825e-13,-3.551815e-14,-1.107636e-12,-4.200832e-13,1.025062e-12,1.303489e-12
136,ve2ATPGPP,2.344993e-10,-6.361575e-12,5.329127e-13,-4.338439e-11,-2.345607e-18,-3.593546e-11,-6.173065e-12,-6.946875e-13,-3.036402e-13,-1.030929e-11,-4.066631e-12,1.587614e-11,8.300101e-11
137,ve2MDH,8.797131e-13,-3.169828e-15,3.252607e-17,-1.329745e-13,-1.626303e-19,-1.245167e-13,2.492027e-13,-7.629449e-15,-1.229512e-15,-3.705657e-14,-1.459908e-14,3.667691e-14,3.32685e-14
138,ve2Fd,3.295028,5.84713,9.854318,13.75992,14.24068,13.716,8.720012,13.66412,0.02224111,13.93043,11.98435,11.80015,4.866377
139,veFd2Thio,1.168156e-09,-1.542631e-11,4.926309e-12,-1.603868e-10,-5.717472e-17,-1.541537e-10,1.289568e-10,1.254505e-10,-1.467477e-12,-4.630284e-11,-1.881455e-11,6.184996e-11,2.387873e-10
140,veFd2Calvin,0.3106461,0.5388603,0.9277115,1.792872,1.610937,1.809492,3.700115,1.829121,6.991583,1.728345,2.464794,1.255923,0.4307039
141,ve2RuACT,2.491074e-11,-6.711584e-13,5.479607e-14,-4.599986e-12,-2.551473e-19,-3.819392e-12,-6.037322e-13,-7.430499e-14,-3.229354e-14,-1.095922e-12,-4.319205e-13,1.681707e-12,8.75798e-12
