,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
47,Vqi,71.05798,121.5907,153.1267,182.3352,237.4957,239.5475,239.6582,239.7887,239.5979,238.0676,202.7518,130.3178,86.83869
48,Vipc,6705.351,11477.58,14456.97,17214.05,22352.34,22561.3,22564.52,22578.79,22562.53,22404.78,19923.96,12302.05,8195.345
49,Vicp,6703.928,11475.07,14453.74,17210.1,22345.54,22551.93,22554.83,22568.78,22553.02,22397.67,19919.27,12299.35,8193.595
50,Vinc,27.10316,47.77504,61.55623,75.33743,129.4952,178.8499,184.9749,191.0998,181.5448,135.4032,89.26166,51.50917,33.33181
51,Vinp,29.95612,52.80399,68.03584,83.26769,143.1263,197.6762,204.4459,211.2156,200.6548,149.6562,98.65762,56.93118,36.84043
52,Vdp,24.3083,43.06413,55.69539,68.46682,122.2495,174.0886,180.5366,186.9777,176.9257,128.4373,81.4186,46.47584,29.9268
53,Vdc,24.30314,43.05472,55.68294,68.45108,122.2123,174.0162,180.459,186.8948,176.8511,128.3966,81.39944,46.46563,29.92041
54,Vfp,4.224371,7.230877,9.107892,10.84485,14.08197,14.21362,14.21565,14.22464,14.2144,14.11501,12.55209,7.750292,5.163068
55,Vfc,4.223475,7.229297,9.105855,10.84236,14.07769,14.20771,14.20954,14.21833,14.2084,14.11053,12.54914,7.748588,5.161965
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.277294,1.333228,1.365438,1.406035,1.750618,1.769986,1.769976,1.769943,1.769984,1.760309,1.454179,1.341766,1.297211
58,VgPQH2,101.8404,346.4575,284.4492,445.8724,513.2917,252.2465,563.356,536.9311,316.3088,554.2643,101.8726,322.1409,138.4564
59,Vbf12,-4.173051e-08,-1.765499e-09,5.908821e-08,-2.910154e-08,1.392987e-07,-8.15895e-09,-2.229134e-09,-2.454972e-10,-5.067002e-09,1.73524e-08,-6.014629e-08,5.092406e-11,-2.848045e-08
60,Vbf13,-1.1212e-08,-4.779417e-10,1.620971e-08,-7.717886e-09,4.208444e-08,-2.802603e-09,-5.345316e-10,-8.740146e-11,-1.746178e-09,5.266073e-09,-1.642734e-08,1.352977e-11,-7.680323e-09
61,Vbf14,4.147929e-09,1.767651e-10,-5.348149e-09,2.608155e-09,-1.623694e-08,8.389012e-10,6.112553e-11,2.613414e-11,5.004978e-10,-1.79174e-09,6.08621e-09,-2.029711e-12,2.952407e-09
62,Vbf15,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
63,Vbf16,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
64,vbfn2,20.28523,34.66372,43.59728,51.81109,66.52897,67.05969,67.09068,67.12724,67.07377,66.66722,57.47648,37.14023,24.78094
65,VsNADPH,0.6622925,0.633175,0.6976828,0.6939085,0.7540158,0.8487539,0.7359886,0.7391756,0.8065009,0.7464392,1.080943,0.6512494,0.6617857
66,vA_d,12.0193,20.86148,28.1637,35.39935,83.2093,143.4294,147.1322,154.4529,145.5309,89.75957,48.64292,22.79107,14.64142
67,vA_f,0.4177501,0.7005683,0.9211245,1.121421,1.916983,2.342085,2.317071,2.350052,2.338421,1.97288,1.499831,0.7601258,0.5051971
68,vA_U,3315.477,5560.066,7310.512,8900.169,15214.15,18587.98,18389.45,18651.21,18558.9,15657.78,11903.42,6032.744,4009.501
69,vU_A,3276.633,5491.234,7223.129,8794.147,15054.27,18395.35,18188.91,18446.44,18363.27,15493.32,11784.67,5958.837,3961.582
70,vU_f,0.4128557,0.6918955,0.9101142,1.108063,1.896837,2.317815,2.291803,2.324251,2.313772,1.952158,1.484869,0.7508135,0.4991593
71,vU_d,9.055521,18.4212,24.57262,32.10295,77.51647,129.3657,138.6797,145.3458,133.2274,84.03697,39.13566,20.02809,11.61281
72,v1,104.598,337.1361,390.5492,625.2511,1079.599,759.3896,1319.817,1285.306,878.7547,1164.71,354.0224,349.1166,146.6142
73,v_r1,64.02744,267.8087,303.3546,521.6289,946.5409,625.2702,1185.636,1151.052,744.6071,1031.375,239.0695,274.8361,97.05232
74,vS1_S2,10.14262,17.33186,21.79863,25.90554,33.26449,33.52984,33.54534,33.56362,33.53689,33.33361,28.73824,18.57011,12.39047
75,vS2_S3,10.14262,17.33186,21.79863,25.90554,33.26449,33.52984,33.54534,33.56362,33.53689,33.33361,28.73824,18.57011,12.39047
76,vS3_S0,10.14262,17.33186,21.79863,25.90554,33.26449,33.52984,33.54534,33.56362,33.53689,33.33361,28.73824,18.57011,12.39047
77,vS0_S1,10.14262,17.33186,21.79863,25.90554,33.26449,33.52984,33.54534,33.56362,33.53689,33.33361,28.73824,18.57011,12.39047
78,vz_1,0.4120999,1.532414,1.729533,2.870011,5.023055,3.386469,6.237515,6.061365,3.993623,5.454429,1.410133,1.572599,0.6018468
79,v1z_1,0.103025,0.3831036,0.4323833,0.7175027,1.255764,0.8466171,1.559379,1.515341,0.9984058,1.363607,0.3525331,0.3931497,0.1504617
80,v2z_1,0.103025,0.3831036,0.4323833,0.7175027,1.255764,0.8466171,1.559379,1.515341,0.9984058,1.363607,0.3525331,0.3931497,0.1504617
81,v3z_1,0.103025,0.3831036,0.4323833,0.7175027,1.255764,0.8466171,1.559379,1.515341,0.9984058,1.363607,0.3525331,0.3931497,0.1504617
82,v0z_1,0.103025,0.3831036,0.4323833,0.7175027,1.255764,0.8466171,1.559379,1.515341,0.9984058,1.363607,0.3525331,0.3931497,0.1504617
83,vz_2,40.15836,67.79502,85.465,100.7522,128.0349,130.7329,127.9438,128.1931,130.1539,127.88,113.5428,72.70786,48.96003
84,v1z_2,10.03959,16.94876,21.36625,25.18804,32.00872,32.68323,31.98596,32.04828,32.53848,31.97,28.38571,18.17696,12.24001
85,v2z_2,10.03959,16.94876,21.36625,25.18804,32.00872,32.68323,31.98596,32.04828,32.53848,31.97,28.38571,18.17696,12.24001
86,v3z_2,10.03959,16.94876,21.36625,25.18804,32.00872,32.68323,31.98596,32.04828,32.53848,31.97,28.38571,18.17696,12.24001
87,v0z_2,10.03959,16.94876,21.36625,25.18804,32.00872,32.68323,31.98596,32.04828,32.53848,31.97,28.38571,18.17696,12.24001
88,v1z,10.14262,17.33186,21.79863,25.90554,33.26449,33.52984,33.54534,33.56362,33.53689,33.33361,28.73824,18.57011,12.39047
