,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
74,vS1_S2,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
75,vS2_S3,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
76,vS3_S0,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
77,vS0_S1,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
78,vz_1,0.4982473,2.895425,5.174687,5.748534,3.895788,9.609589,5.52811,2.145465,6.919796,3.491007,1.259397,0.6803794
79,v1z_1,0.1245618,0.7238562,1.293672,1.437134,0.9739469,2.402397,1.382028,0.5363662,1.729949,0.8727518,0.3148493,0.1700949
80,v2z_1,0.1245618,0.7238562,1.293672,1.437134,0.9739469,2.402397,1.382028,0.5363662,1.729949,0.8727518,0.3148493,0.1700949
81,v3z_1,0.1245618,0.7238562,1.293672,1.437134,0.9739469,2.402397,1.382028,0.5363662,1.729949,0.8727518,0.3148493,0.1700949
82,v0z_1,0.1245618,0.7238562,1.293672,1.437134,0.9739469,2.402397,1.382028,0.5363662,1.729949,0.8727518,0.3148493,0.1700949
83,vz_2,57.82471,102.9642,121.5868,126.3502,129.1796,121.605,119.5722,129.3956,125.7541,112.2256,70.85726,33.57802
84,v1z_2,14.45618,25.74104,30.39669,31.58756,32.29489,30.40125,29.89305,32.34891,31.43853,28.05641,17.71431,8.394505
85,v2z_2,14.45618,25.74104,30.39669,31.58756,32.29489,30.40125,29.89305,32.34891,31.43853,28.05641,17.71431,8.394505
86,v3z_2,14.45618,25.74104,30.39669,31.58756,32.29489,30.40125,29.89305,32.34891,31.43853,28.05641,17.71431,8.394505
87,v0z_2,14.45618,25.74104,30.39669,31.58756,32.29489,30.40125,29.89305,32.34891,31.43853,28.05641,17.71431,8.394505
88,v1z,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
89,v2z,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
90,v3z,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
91,v0z,14.58074,26.4649,31.69036,33.02469,33.26884,32.80365,31.27508,32.88527,33.16848,28.92916,18.02916,8.5646
92,vAB1,36.85078,53.76538,63.95288,66.60233,67.51306,65.8877,63.05788,68.54608,66.7772,58.64775,37.30115,17.59759
93,vBA1,7.689309,0.8355789,0.5721469,0.5529506,0.975377,0.2803971,0.507721,2.775536,0.440235,0.7894353,1.242826,0.4683855
