,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
25,v55,0.6302605,1.217059,1.669129,1.459013,1.461235,1.464625,1.465681,1.46657,1.465881,1.464499,1.459946,1.494725,1.680469,0.7734825
26,v56,0.6302605,1.217059,1.669129,1.459013,1.46123,1.464625,1.465681,1.46657,1.46588,1.464499,1.459945,1.494725,1.680468,0.7734833
27,v57,0.6302605,1.217059,1.669129,1.459013,1.46123,1.464625,1.465681,1.46657,1.46588,1.464499,1.459945,1.494724,1.680468,0.7734833
28,v58,0.07229054,0.06512023,0.06135297,0.06295281,0.06293463,0.06290684,0.06289821,0.06289093,0.06289659,0.06290787,0.06294516,0.06266343,0.0612735,0.07022935
29,v59,0.07229054,0.06512027,0.06135296,0.06295281,0.06293463,0.06290684,0.06289821,0.06289094,0.06289659,0.06290786,0.06294517,0.06266337,0.06127349,0.07022984
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.6302605,1.217059,1.669129,1.459013,1.46123,1.464625,1.465681,1.466571,1.46588,1.464499,1.459945,1.494724,1.680468,0.7734834
32,vdhap_in,22.18819,19.43919,17.69711,18.50316,18.49469,18.48172,18.47769,18.47429,18.47693,18.4822,18.4996,18.36677,17.65311,21.39532
33,vgap_in,22.18819,19.43919,17.69711,18.50316,18.49469,18.48172,18.47769,18.47429,18.47693,18.4822,18.4996,18.36677,17.65311,21.39532
34,vpga_in,22.18819,19.43919,17.69711,18.50316,18.49469,18.48172,18.47769,18.47429,18.47693,18.4822,18.4996,18.36677,17.65311,21.39532
35,vpga_use,0.003865568,0.01209698,0.01937187,0.01392093,0.01395415,0.01401699,0.01403662,0.01405318,0.01404032,0.01401467,0.01393075,0.0147524,0.0211397,0.005502579
36,Vbf1,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
37,Vbf2,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
38,Vbf3,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
39,Vbf4,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
40,Vbf5,21.23446,42.35762,74.81831,78.70902,78.91417,79.06496,79.11125,79.15019,79.11997,79.05944,78.85214,78.15828,63.26717,26.24477
41,Vbf6,35.73531,71.43888,128.3982,136.4556,136.8189,137.0775,137.1569,137.2236,137.1718,137.0681,136.7115,135.2871,107.3282,44.18523
42,Vbf7,35.73531,71.43888,128.3982,136.4556,136.8189,137.0775,137.1569,137.2236,137.1718,137.0681,136.7115,135.2872,107.3282,44.18523
43,Vbf8,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
44,Vbf9,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4223,170.5953,70.43
45,Vbf10,56.96977,113.7963,203.2166,215.1647,215.7331,216.1425,216.2682,216.3736,216.2911,216.1276,215.5633,213.4136,170.5953,70.43
46,Vbf11,33.56405,67.01894,119.3283,126.126,126.458,126.6985,126.7723,126.8343,126.7862,126.6897,126.3587,125.1517,100.3702,41.49132
47,Vqi,71.47062,142.8778,256.7965,272.9112,273.6377,274.1551,274.3138,274.4473,274.3436,274.1363,273.4229,270.5743,214.6563,88.37046
48,Vipc,6844.202,13688.98,24546.95,26019.98,26115.46,26203.64,26237.57,26267.43,26243.05,26199.5,26089.73,25796.74,20558.38,8463.534
49,Vicp,6842.785,13686.04,24540.68,26010.55,26103.55,26189.25,26222.3,26251.44,26227.64,26185.21,26078.72,25789.01,20553.74,8461.769
50,Vinc,26.97886,56.0114,119.4911,179.7883,227.3556,274.9229,291.7265,305.7292,294.527,272.9881,210.1025,147.2167,88.40483,33.6017
51,Vinp,29.81874,61.90734,132.0691,198.7134,251.2878,303.8621,322.4345,337.9112,325.5298,301.7236,232.2185,162.7132,97.71061,37.13872
52,Vdp,24.08989,50.34165,110.3316,172.8925,222.9235,272.9637,290.6402,305.3697,293.5863,270.9285,204.7707,138.7363,80.11645,30.04187
53,Vdc,24.0849,50.33083,110.3034,172.8299,222.8218,272.8138,290.4711,305.1838,293.4139,270.7808,204.6842,138.6947,80.09836,30.03561
54,Vfp,4.311847,8.62406,15.46458,16.39259,16.45274,16.50829,16.52967,16.54848,16.53312,16.50569,16.43653,16.25194,12.95178,5.332026
55,Vfc,4.310955,8.622207,15.46063,16.38665,16.44524,16.49923,16.52005,16.53841,16.52342,16.49669,16.42959,16.24708,12.94885,5.330914
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.418692,1.49165,1.855313,2.174176,2.175934,2.17506,2.174775,2.174533,2.17472,2.175093,2.176156,2.119033,1.590852,1.440075
58,VgPQH2,302.6679,163.2521,286.4516,791.5076,710.4739,680.989,656.6764,826.0527,749.1617,726.9675,435.6335,700.1466,676.0728,156.0686
59,Vbf12,2.499461e-10,-7.178387e-09,-1.224194e-09,-1.512509e-07,1.064903e-07,1.269504e-08,1.254654e-10,-4.077581e-09,1.219213e-07,1.406676e-07,-1.616266e-07,-4.319159e-08,2.262019e-08,1.782712e-08
60,Vbf13,6.684675e-11,-1.948444e-09,-3.426665e-10,-4.875816e-08,3.83923e-08,5.192893e-09,4.819858e-11,-5.181607e-10,5.129065e-08,5.668666e-08,-5.888179e-08,-1.165065e-08,6.195046e-09,4.836585e-09
61,Vbf14,-2.506297e-11,8.512723e-10,4.896553e-11,1.602091e-08,-1.086869e-08,-1.317404e-09,8.46356e-12,-1.089309e-09,-1.146881e-08,-1.380542e-08,2.374236e-08,3.793243e-09,-2.088327e-09,-1.485596e-09
62,Vbf15,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
63,Vbf16,56.96977,113.7965,203.2165,215.1646,215.733,216.1425,216.2681,216.3738,216.2918,216.1276,215.5636,213.4454,170.5953,70.43
