,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
77,vS0_S1,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
78,vz_1,3.130297,0.7238974,2.08431,2.773639,5.710896,11.1505,4.708141,3.837079,5.322518,6.079581,1.638793,1.541154,0.8873634
79,v1z_1,0.7825744,0.1809744,0.5210775,0.6934096,1.427724,2.787626,1.177035,0.9592697,1.33063,1.519895,0.4096982,0.3852884,0.2218408
80,v2z_1,0.7825744,0.1809744,0.5210775,0.6934096,1.427724,2.787626,1.177035,0.9592697,1.33063,1.519895,0.4096982,0.3852884,0.2218408
81,v3z_1,0.7825744,0.1809744,0.5210775,0.6934096,1.427724,2.787626,1.177035,0.9592697,1.33063,1.519895,0.4096982,0.3852884,0.2218408
82,v0z_1,0.7825744,0.1809744,0.5210775,0.6934096,1.427724,2.787626,1.177035,0.9592697,1.33063,1.519895,0.4096982,0.3852884,0.2218408
83,vz_2,39.79551,71.94414,89.5471,105.8969,136.849,132.8333,139.3555,140.3366,138.7055,136.8833,122.0858,76.62789,51.42026
84,v1z_2,9.948878,17.98603,22.38678,26.47423,34.21226,33.20831,34.83886,35.08415,34.67637,34.22082,30.52146,19.15697,12.85506
85,v2z_2,9.948878,17.98603,22.38678,26.47423,34.21226,33.20831,34.83886,35.08415,34.67637,34.22082,30.52146,19.15697,12.85506
86,v3z_2,9.948878,17.98603,22.38678,26.47423,34.21226,33.20831,34.83886,35.08415,34.67637,34.22082,30.52146,19.15697,12.85506
87,v0z_2,9.948878,17.98603,22.38678,26.47423,34.21226,33.20831,34.83886,35.08415,34.67637,34.22082,30.52146,19.15697,12.85506
88,v1z,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
89,v2z,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
90,v3z,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
91,v0z,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
92,vAB1,21.55434,41.29994,46.75543,55.26158,71.9358,72.28166,72.93359,73.32298,72.77123,72.09131,65.69988,40.10778,27.06126
93,vBA1,0.09143323,4.965915,0.9397271,0.9262891,0.6558335,0.2897822,0.9017935,1.236128,0.7572295,0.6098693,3.837564,1.023252,0.9074466
94,vAB2,22.08009,207.197,68.98155,75.63563,83.67688,75.24289,96.90662,113.6714,90.39732,82.61494,208.6095,66.84718,52.18291
95,vBA2,0.6171865,170.863,23.16585,21.30034,12.39691,3.251008,24.87482,41.58459,18.38332,11.1335,146.7472,27.76266,26.0291
96,v3,0.623745,8.894657,4.64664,4.826167,3.846469,1.883259,4.85935,6.049274,4.25851,3.617759,10.88043,4.649357,3.701635
97,v_r3,0.00788314,0.3840297,0.1204609,0.1187115,0.08114381,0.03065823,0.1143324,0.1540656,0.09565929,0.07491302,0.379015,0.1289759,0.1108413
98,v3_n,21.13711,28.81903,42.2915,50.78811,68.93134,71.34478,68.81997,67.7883,69.34611,69.34533,52.90993,35.44355,23.16837
99,v_r3_n,0.2900637,0.9956259,1.00197,1.160284,1.416699,1.205506,1.533191,1.596649,1.494962,1.406672,1.549947,0.8794037,0.605354
100,v_pq_ox,1682.165,3013.4,2678.752,2624.526,2461.741,2084.737,2627.717,2721.945,2567.913,2439.045,2948.916,2740.752,2796.221
101,Ic,11.21495,19.82014,25.53342,31.17616,53.6766,74.06102,76.60025,79.13949,75.18956,56.07477,36.95997,21.37189,13.82472
