,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
68,vA_U,5392.346,11419.84,17324.29,20466.61,22441.41,22821.01,23150.77,23159.32,23305.89,23518.88,23301.47,22268.67,20233.22,15690.84,5628.775
69,vU_A,5313.555,11272.24,17127.17,20227.75,22173.23,22535.95,22851.03,22861.45,23011.4,23234.57,23022.74,22013.4,20003.26,15510.5,5543.822
70,vU_f,0.669508,1.420302,2.158024,2.548697,2.793827,2.83953,2.87923,2.880542,2.899436,2.927556,2.900865,2.773689,2.520411,1.954323,0.6985216
71,vU_d,16.99207,41.64552,92.98295,153.8109,202.3553,226.0885,246.8193,244.7423,242.072,230.3283,221.5125,184.7409,142.5543,71.64508,19.08583
72,v1,347.0688,720.0727,1805.595,2584.432,1604.905,2098.96,2502.029,2327.501,1798.46,1150.873,1158.265,1164.93,1832.898,1130.733,638.8129
73,v_r1,264.3829,573.0062,1640.496,2418.274,1438.335,1932.214,2335.142,2160.623,1631.61,984.0802,991.5219,998.4909,1666.849,967.9712,550.7514
74,vS1_S2,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
75,vS2_S3,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
76,vS3_S0,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
77,vS0_S1,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
78,vz_1,1.522326,3.112984,8.420608,12.2885,7.408109,9.865428,11.86976,11.0014,8.368927,5.1467,5.183834,5.219141,8.547771,5.074443,3.027625
79,v1z_1,0.3805816,0.7782461,2.105152,3.072126,1.852027,2.466357,2.96744,2.750349,2.092232,1.286675,1.295959,1.304785,2.136943,1.268611,0.7569063
80,v2z_1,0.3805816,0.7782461,2.105152,3.072126,1.852027,2.466357,2.96744,2.750349,2.092232,1.286675,1.295959,1.304785,2.136943,1.268611,0.7569063
81,v3z_1,0.3805816,0.7782461,2.105152,3.072126,1.852027,2.466357,2.96744,2.750349,2.092232,1.286675,1.295959,1.304785,2.136943,1.268611,0.7569063
82,v0z_1,0.3805816,0.7782461,2.105152,3.072126,1.852027,2.466357,2.96744,2.750349,2.092232,1.286675,1.295959,1.304785,2.136943,1.268611,0.7569063
83,vz_2,81.16214,143.9536,156.6784,153.8697,159.1612,156.8766,155.0174,155.87,158.4802,161.6461,161.559,161.2204,157.501,157.6872,85.03389
84,v1z_2,20.29053,35.98839,39.16959,38.46743,39.79031,39.21915,38.75434,38.96751,39.62005,40.41152,40.38975,40.30511,39.37526,39.42181,21.25847
85,v2z_2,20.29053,35.98839,39.16959,38.46743,39.79031,39.21915,38.75434,38.96751,39.62005,40.41152,40.38975,40.30511,39.37526,39.42181,21.25847
86,v3z_2,20.29053,35.98839,39.16959,38.46743,39.79031,39.21915,38.75434,38.96751,39.62005,40.41152,40.38975,40.30511,39.37526,39.42181,21.25847
87,v0z_2,20.29053,35.98839,39.16959,38.46743,39.79031,39.21915,38.75434,38.96751,39.62005,40.41152,40.38975,40.30511,39.37526,39.42181,21.25847
88,v1z,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
89,v2z,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
90,v3z,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
91,v0z,20.67112,36.76664,41.27475,41.53955,41.64233,41.68551,41.72178,41.71786,41.71228,41.6982,41.68571,41.60989,41.5122,40.69042,22.01538
92,vAB1,42.52953,75.16664,83.0954,83.42776,83.96006,83.84011,83.81605,83.84564,84.00527,84.52473,84.48553,84.31113,83.57575,82.40848,44.51773
93,vBA1,1.187292,1.63336,0.5459129,0.3486483,0.6753854,0.4690934,0.3724831,0.409932,0.5807059,1.128358,1.114132,1.091344,0.5513409,1.027636,0.486976
94,vAB2,72.99628,118.2829,90.65243,87.14637,97.51069,90.86854,88.43901,89.37428,94.57908,118.3296,117.4192,115.2993,92.24227,104.8288,51.2132
95,vBA2,31.65404,44.74967,8.102935,4.067267,14.22602,7.497521,4.995441,5.938572,11.15452,34.93319,34.04777,32.07954,9.217857,23.44796,7.182445
96,v3,5.260146,7.762893,3.370295,2.25401,3.975768,2.912684,2.375109,2.585656,3.496437,5.896926,5.847796,5.780815,3.370486,5.660219,2.863312
97,v_r3,0.1487838,0.2043605,0.06338324,0.03694683,0.08287816,0.05438403,0.04094688,0.04616426,0.06988725,0.1409359,0.1393357,0.1369939,0.06534087,0.129182,0.05998839
98,v3_n,37.1636,67.58881,80.76328,82.25587,81.04329,82.05266,82.56525,82.39035,81.60971,79.42581,79.44511,79.34939,81.28821,77.5305,42.0847
99,v_r3_n,0.9323963,1.614072,1.520703,1.393824,1.651512,1.53945,1.455852,1.493095,1.611701,1.785438,1.782149,1.773438,1.568947,1.680692,0.857267
100,v_pq_ox,2740.438,2684.156,2287.586,2088.37,2458.777,2295.217,2171.201,2225.958,2398.214,2640.407,2636.766,2629.306,2346.594,2549.331,2407.094
101,Ic,21.72111,42.95391,65.12277,87.91565,106.4431,115.018,122.661,121.918,121.175,117.8098,114.4447,100.4662,83.83446,56.97563,23.29875
102,Ia,99.21263,196.1949,297.4526,401.5607,486.1861,525.3523,560.2623,556.8686,553.4748,538.1041,522.7337,458.8863,382.9196,260.2401,106.4186
103,v2_1,81.19477,144.0564,156.7368,153.9145,159.2482,156.9417,155.0696,155.9297,158.5582,161.7867,161.6973,161.3519,157.5678,157.7819,85.05027
104,v2_2,1868.866,3251.736,1683.125,1319.186,2453.423,1821.596,1521.668,1645.989,2215.599,3908.354,3844.13,3664.989,1909.703,2703.8,914.1923
105,v2_00_1,1.629451,2.871585,5.94467,7.204916,4.331213,5.546874,6.416935,6.02408,4.716953,2.916585,2.958589,3.082148,5.347918,3.939966,3.269874
106,v2_01_1,3.563388,6.160475,11.71262,14.19864,8.678411,10.98146,12.67399,11.90731,9.399569,6.165538,6.237786,6.455873,10.58907,7.990164,6.389464
107,v2_02_1,76.00193,135.0244,139.0795,132.511,146.2386,140.4133,135.9786,137.9983,144.4417,152.7046,152.501,151.8139,141.6308,145.8517,75.39093
108,v2_00_2,37.50518,64.81929,63.8371,61.7526,66.7279,64.38165,62.96814,63.59,65.91193,70.45723,70.33636,70.00871,64.81615,67.5165,35.14737
109,v2_01_2,82.01877,139.0583,125.7765,121.6951,133.7021,127.46,124.3674,125.6932,131.344,148.9436,148.2947,146.6404,128.3383,136.922,68.67936
110,v2_02_2,1749.342,3047.858,1493.511,1135.738,2252.993,1629.754,1334.332,1456.706,2018.343,3688.953,3625.499,3448.34,1716.549,2499.361,810.3655
111,vr2_00_1,0.0005819594,0.001903952,0.002319201,0.0022884,0.002382873,0.002345592,0.002317359,0.002330903,0.002374411,0.002436725,0.0024342,0.002423579,0.002346385,0.00231113,0.0006404626
112,vr2_01_1,0.0007567089,0.002269756,0.001916756,0.00181091,0.002096556,0.001925929,0.001852405,0.001882272,0.002025212,0.002584295,0.002562943,0.002510875,0.001961892,0.0022272,0.0005581729
113,vr2_02_1,0.03060211,0.09868974,0.05419382,0.04071318,0.08230146,0.05909049,0.04801244,0.05260552,0.07358958,0.1356429,0.1332716,0.126577,0.0624143,0.09007347,0.01518758
114,vr2_1,0.03194077,0.1028635,0.05842978,0.04481249,0.08678089,0.06336201,0.0521822,0.0568187,0.07798921,0.1406639,0.1382687,0.1315115,0.06672258,0.09461179,0.01638622
115,vr2_00_2,34.02278,60.13044,66.47254,66.73816,67.16384,67.06788,67.0486,67.07227,67.19996,67.61539,67.58405,67.44462,66.85658,65.92312,35.61328
116,vr2_01_2,44.23907,71.68321,54.93774,52.81279,59.09369,55.06839,53.59601,54.16281,57.31703,71.71022,71.15853,69.87394,55.90104,63.52908,31.03751
117,vr2_02_2,1789.074,3116.81,1553.294,1187.346,2319.755,1689.584,1389.153,1513.736,2082.713,3763.882,3700.203,3522.452,1778.398,2569.273,844.5138
118,vr2_2,1867.336,3248.623,1674.704,1306.897,2446.013,1811.72,1509.798,1634.971,2207.23,3903.207,3838.945,3659.77,1901.156,2698.725,911.1646
119,vP680qU,0.1660095,0.4264683,1.997,4.25224,2.904131,4.404955,5.816081,5.302876,3.84285,2.070338,2.026465,1.78189,2.665981,0.9498848,0.4054055
120,vP680qA,0.1684711,0.4320527,2.019983,4.302452,2.939255,4.460673,5.892371,5.371972,3.892029,2.095672,2.051,1.802553,2.696628,0.9609288,0.4116178
121,vU_P680,82.85048,147.493,167.096,170.4105,169.4735,171.147,172.7032,172.1744,170.692,168.8631,168.7693,168.2215,168.7148,163.7116,88.46692
122,vP680_d,0.1660123,0.4264691,1.997,4.25224,2.904133,4.404955,5.816081,5.302866,3.84285,2.070346,2.026505,1.781891,2.665981,0.9498857,0.4054055
123,vP680_f,-0.001498197,3.73528e-05,-1.429177e-07,-6.549077e-09,-0.0003926104,-0.004198222,-7.551474e-07,-0.00712747,-1.024702e-05,4.135734e-05,-0.0001642713,4.728246e-05,-1.642789e-05,8.942562e-07,-1.540816e-06
124,Vva,0.0,0.0,0.01922124,0.02503123,0.02345739,0.02253707,0.02173782,0.02181401,0.02189067,0.02224437,0.02260227,0.02407931,0.02508654,0.009601994,0.0
125,Vaz,0.0,0.0,0.01698413,0.05572108,0.07301719,0.07843079,0.08236084,0.08200905,0.08165052,0.07993394,0.07808157,0.06841216,0.05039419,0.003385695,0.0
126,Vza,2.608434e-11,2.081905e-11,0.016984,0.05572099,0.07301708,0.07843052,0.08236087,0.08200896,0.08165041,0.07993406,0.07808187,0.06841227,0.05039401,0.003385398,2.596147e-79
127,Vav,5.213538e-10,4.404197e-10,0.01922104,0.02503113,0.02345729,0.02253693,0.02173782,0.02181395,0.02189058,0.02224448,0.02260252,0.02407941,0.02508634,0.009601303,4.247853e-77
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,4.096267e-11,4.092342e-12,3.058604e-13,1.19593e-13,-3.090922e-11,-1.546483e-11,3.102657e-13,-3.022542e-11,-4.392849e-11,2.664986e-11,6.633551e-11,2.275279e-11,-1.256381e-12,-9.705151e-12,1.118284e-12
132,ve2FBPase,4.979351e-12,4.594742e-13,1.674486e-13,3.87834e-13,-3.104781e-12,-1.507685e-12,8.653465e-14,-3.1287e-12,-4.526444e-12,3.848675e-12,7.133308e-12,2.371975e-12,-9.211323e-14,-1.913631e-12,1.299824e-13
133,ve2SBPase,2.147194e-11,1.896381e-12,1.907816e-13,1.414438e-12,-1.411406e-11,-7.050663e-12,2.444598e-14,-1.433674e-11,-2.028207e-11,1.64561e-11,3.13346e-11,1.031492e-11,-6.780427e-13,-8.825568e-12,5.767388e-13
134,ve2PRK,3.957022e-11,4.009066e-12,2.999069e-13,3.395333e-15,-3.028978e-11,-1.518857e-11,5.483596e-13,-2.925601e-11,-4.324181e-11,2.688546e-11,6.41962e-11,2.228827e-11,-1.211379e-12,-3.548251e-12,1.064323e-12
135,ve2ATPase,4.451687e-12,4.509483e-13,3.3734e-14,3.786693e-16,-3.407024e-12,-1.708424e-12,6.176479e-14,-3.290688e-12,-4.863972e-12,3.024257e-12,7.220502e-12,2.506955e-12,-1.362583e-13,-3.973031e-13,1.197318e-13
136,ve2ATPGPP,4.175676e-11,3.948126e-12,2.946245e-13,1.206909e-12,-2.96892e-11,-1.478252e-11,7.642541e-14,-2.963292e-11,-4.208407e-11,2.78857e-11,6.502128e-11,2.178805e-11,-1.274771e-12,-1.559226e-11,1.152996e-12
137,ve2MDH,1.50795e-13,1.557649e-14,1.165544e-15,1.409463e-17,-1.176709e-13,-5.90753e-14,3.278465e-15,-1.123786e-13,-1.6873e-13,1.040837e-13,2.469982e-13,8.664106e-14,-4.659386e-15,-1.084934e-15,3.964006e-15
138,ve2Fd,7.387789,12.26035,13.63574,13.96839,13.5354,13.92429,14.10772,14.04805,13.77121,12.65636,12.67944,12.66476,13.646,13.09595,7.935662
139,veFd2Thio,2.002608e-10,1.843264e-11,1.596205e-12,3.263042e-12,-1.405745e-10,-8.361882e-11,1.962081e-12,-1.344978e-10,-2.029118e-10,1.307736e-10,3.080323e-10,1.038052e-10,-1.550886e-11,-4.150806e-11,5.201976e-12
140,veFd2Calvin,0.7172809,1.727516,1.839861,1.713979,1.877834,1.730666,1.661252,1.683832,1.788598,2.210484,2.201747,2.207307,1.835981,2.044133,0.708334
141,ve2RuACT,4.437208e-12,4.197648e-13,3.132434e-14,1.271784e-13,-3.156738e-12,-1.571679e-12,8.216916e-15,-3.150332e-12,-4.474572e-12,2.961414e-12,6.912721e-12,2.316739e-12,-1.354572e-13,-1.654891e-12,1.225177e-13
