,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
110,v2_02_2,1626.148,4184.072,1977.488,1648.178,1680.171,1303.896,1968.232,1018.742,1893.07,990.4703,8164.105,753.0371,1738.423,1626.148
111,vr2_00_1,0.0001403769,0.0005831083,0.001494396,0.001502303,0.001506306,0.001486924,0.001525926,0.001466742,0.001524511,0.001459602,0.001317697,0.001424212,0.001150191,0.0001403769
112,vr2_01_1,0.0003217653,0.001672796,0.00138948,0.001287965,0.001291462,0.001213813,0.001349544,0.001159894,0.001332548,0.001153553,0.002286015,0.00111069,0.00111127,0.0003217653
113,vr2_02_1,0.01346392,0.07077199,0.0566346,0.0472569,0.04819938,0.03712703,0.05673484,0.0286597,0.0545407,0.02782968,0.2143277,0.02095072,0.04354143,0.01346392
114,vr2_1,0.01392606,0.07302789,0.05951848,0.05004717,0.05099714,0.03982777,0.05961031,0.03128634,0.05739776,0.03044283,0.2179314,0.02348562,0.04580289,0.01392606
115,vr2_00_2,17.17765,34.83327,53.64743,54.04892,54.13662,54.1219,54.39739,54.28145,54.41464,54.12922,50.56491,53.68527,47.24363,17.17765
116,vr2_01_2,39.37378,99.92819,49.88104,46.33761,46.41514,44.18106,48.10961,42.92558,47.56287,42.77942,87.72283,41.86714,45.64499,39.37378
117,vr2_02_2,1647.553,4227.722,2033.129,1700.179,1732.286,1351.371,2022.528,1060.643,1946.731,1032.061,8224.544,789.7314,1788.447,1647.553
118,vr2_2,1704.105,4362.483,2136.658,1800.566,1832.837,1449.674,2125.035,1157.85,2048.708,1128.97,8362.832,885.2838,1881.335,1704.105
119,vP680qU,0.04838796,0.0930716,0.9697922,2.15922,2.471676,3.607176,2.96078,6.470455,3.240779,5.335606,0.5778975,3.516868,0.5400278,0.04838796
120,vP680qA,0.04898788,0.09414364,0.9801401,2.18307,2.49986,3.650329,2.997964,6.559316,3.282398,5.402935,0.5808813,3.555744,0.5463722,0.04898788
121,vU_P680,40.42883,80.6173,133.6788,136.3237,136.8701,138.2138,137.9058,141.6744,138.2809,140.155,124.6094,137.2894,117.1168,40.42883
122,vP680_d,0.04838787,0.09307398,0.9698162,2.15922,2.471675,3.607179,2.96078,6.470455,3.240779,5.335606,0.5775352,3.516868,0.5400278,0.04838787
123,vP680_f,-5.468127e-05,-1.268727e-05,-0.000144245,7.924841e-09,6.864143e-07,-0.0003427237,1.480841e-08,-1.253934e-07,4.906011e-07,-6.471882e-06,0.0007785766,-1.070741e-08,-5.550617e-08,-5.468127e-05
124,Vva,0.0,0.0,0.01447799,0.02498543,0.02421442,0.0231704,0.02130127,0.01989508,0.0207881,0.0220223,0.0,0.02413541,0.0,0.0
125,Vaz,0.0,0.0,0.008421396,0.05703437,0.06723964,0.07484014,0.0843023,0.08985076,0.08643868,0.08102364,0.0,0.0363479,0.0,0.0
126,Vza,1.297295e-11,1.042427e-79,0.008421678,0.05703437,0.06723961,0.07484009,0.08430233,0.08985077,0.08643872,0.08102365,0.003980631,0.03634762,1.94264e-11,1.297295e-11
127,Vav,2.752145e-10,1.72213e-77,0.01447848,0.02498543,0.02421438,0.02317035,0.0213013,0.01989508,0.02078813,0.0220223,0.01240494,0.02413505,4.036049e-10,2.752145e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,1.003938e-10,1.403996e-10,2.150722e-11,2.76233e-14,7.900184e-14,-1.172377e-11,1.567317e-13,3.225589e-13,9.095039e-13,1.576158e-12,-3.384233e-12,8.597617e-14,1.813399e-13,1.003938e-10
132,ve2FBPase,1.089073e-11,1.4373e-11,2.624993e-12,2.846352e-15,8.304595e-14,-1.132051e-12,2.249922e-12,7.815006e-13,2.045524e-12,3.865099e-13,3.191287e-12,-3.48102e-14,9.71886e-13,1.089073e-11
133,ve2SBPase,4.852875e-11,6.403146e-11,1.081175e-11,1.268757e-14,8.199565e-14,-5.368225e-12,8.878276e-12,2.660271e-12,8.261039e-12,1.458877e-12,8.653882e-12,8.23706e-14,2.900803e-12,4.852875e-11
134,ve2PRK,9.942492e-11,1.378959e-10,2.073263e-11,2.696229e-14,7.327423e-14,-1.14889e-11,-3.375789e-14,2.080456e-13,5.99568e-14,1.233279e-12,-3.293477e-12,-5.062275e-15,1.751994e-13,9.942492e-11
135,ve2ATPase,1.118836e-11,1.551139e-11,2.331926e-12,3.032707e-15,8.241077e-15,-1.292292e-12,-3.728427e-15,2.342497e-14,6.727529e-15,1.386415e-13,-3.704061e-13,-5.763355e-16,1.970927e-14,1.118836e-11
136,ve2ATPGPP,1.007669e-10,1.350116e-10,2.144019e-11,2.6693e-14,8.857823e-14,-1.127782e-11,6.003953e-12,2.106595e-12,7.782027e-12,2.271012e-12,-2.354447e-12,4.156625e-13,9.792729e-13,1.007669e-10
137,ve2MDH,3.839731e-13,5.358071e-13,7.971119e-14,1.0449e-16,2.7658e-16,-4.461565e-14,2.327782e-16,9.524445e-16,2.031524e-16,3.692765e-15,-1.266972e-14,4.309704e-18,6.883057e-16,3.839731e-13
138,ve2Fd,3.955628,7.076413,13.2448,13.52983,13.54918,13.78513,13.47247,14.00479,13.53198,13.96838,0.06146483,13.95033,10.69032,3.955628
139,veFd2Thio,4.731024e-10,6.464858e-10,1.010247e-10,1.270564e-13,5.575095e-13,-5.348579e-11,1.794406e-11,6.551962e-12,1.993175e-11,8.094993e-12,-7.444102e-13,5.893947e-13,5.49227e-12,4.731024e-10
140,veFd2Calvin,0.4434846,1.417995,1.987803,1.879942,1.872619,1.783328,1.901645,1.700202,1.879128,1.713983,6.976735,1.720811,1.584792,0.4434846
141,ve2RuACT,1.070739e-11,1.435475e-11,2.279019e-12,2.838087e-15,9.404774e-15,-1.199103e-12,6.313339e-13,2.220013e-13,8.207755e-13,2.408731e-13,-2.518675e-13,4.393437e-14,1.02838e-13,1.070739e-11
