,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
32,vdhap_in,20.76029,19.02149,19.50457,19.47989,18.42786,19.46069,19.46061,18.43188,19.46573,19.46607,19.46726,18.43404,19.48538,19.50389,20.20359
33,vgap_in,20.76029,19.02149,19.50457,19.47989,18.42786,19.46069,19.46061,18.43188,19.46573,19.46607,19.46726,18.43404,19.48538,19.50389,20.20359
34,vpga_in,20.76029,19.02149,19.50457,19.47989,18.42786,19.46069,19.46061,18.43188,19.46573,19.46607,19.46726,18.43404,19.48538,19.50389,20.20359
35,vpga_use,0.006706117,0.01236274,0.009645458,0.009712673,0.01144799,0.009808209,0.009808488,0.01144812,0.009789178,0.00978788,0.009783386,0.01142312,0.009715245,0.009671247,0.008393959
36,Vbf1,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2466,186.0709,115.607
37,Vbf2,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
38,Vbf3,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
39,Vbf4,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
40,Vbf5,36.33125,62.54222,66.92231,67.28043,84.0366,67.5324,67.53333,83.35776,67.46624,67.46171,67.4461,83.88769,67.20814,66.79091,41.95279
41,Vbf6,63.73299,110.7684,119.5265,120.1672,113.3109,120.6158,120.6175,114.6418,120.4981,120.49,120.4622,113.2931,120.0384,119.28,73.65426
42,Vbf7,63.73299,110.7684,119.5265,120.1672,113.3108,120.6158,120.6175,114.6418,120.4981,120.49,120.4622,113.2931,120.0392,119.28,73.65426
43,Vbf8,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
44,Vbf9,100.0643,173.3106,186.4488,187.4476,197.5058,188.1482,188.1508,198.0311,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.6078
45,Vbf10,100.0643,173.3106,186.4488,187.4477,197.6613,188.1484,188.1508,198.0559,187.9643,187.9517,187.9083,197.1808,187.2465,186.071,115.6083
46,Vbf11,58.53883,101.2244,108.743,109.3254,120.7658,109.7342,109.7357,120.7542,109.6268,109.6195,109.5942,120.6302,109.208,108.5244,67.62239
47,Vqi,127.466,221.5368,239.053,240.3344,226.6218,241.2316,241.235,229.2836,240.9961,240.98,240.9244,226.5862,240.0768,238.5601,147.3085
48,Vipc,12032.73,20897.25,22500.93,22639.84,23864.81,22759.46,22748.72,23941.97,22716.85,22713.23,22707.6,23823.27,22609.85,22450.78,13907.16
49,Vicp,12030.09,20892.04,22492.58,22627.98,23850.46,22744.99,22734.19,23927.87,22703.21,22699.71,22694.22,23811.05,22599.06,22443.22,13904.06
50,Vinc,50.23108,99.27024,159.207,226.6358,274.3128,276.6966,277.8886,269.3748,260.8611,258.307,255.7528,233.4468,206.0326,144.0525,58.9151
51,Vinp,55.51857,109.7197,175.9656,250.4922,303.1878,305.8226,307.14,297.7301,288.3201,285.4972,282.6742,258.0202,227.7202,159.216,65.11669
52,Vdp,45.3,91.34276,153.4418,224.3635,273.8024,277.0138,278.2761,268.5525,260.3615,257.6736,254.9871,230.7879,202.684,137.5158,53.26129
53,Vdc,45.29007,91.31998,153.3849,224.2459,273.6377,276.8377,278.0983,268.3944,260.2051,257.5203,254.8368,230.6695,202.5872,137.4695,53.24944
54,Vfp,7.580619,13.16527,14.17558,14.2631,15.03483,14.33846,14.33169,15.08344,14.31162,14.30933,14.30579,15.00866,14.24421,14.14399,8.761509
55,Vfc,7.578957,13.16198,14.17032,14.25562,15.02579,14.32934,14.32254,15.07456,14.30302,14.30082,14.29736,15.00096,14.23741,14.13923,8.75956
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.338967,1.546042,1.769537,1.769723,1.772926,1.769308,1.769306,1.772936,1.769418,1.769425,1.769451,1.773043,1.769835,1.766619,1.359078
58,VgPQH2,250.0565,249.0095,554.2569,948.5709,501.2008,222.4387,575.597,917.0329,756.9718,2798.471,812.7687,556.7449,621.8338,676.9177,359.4389
59,Vbf12,1.330277e-07,9.136207e-08,5.993418e-09,-1.628645e-09,-3.953991e-08,2.645882e-08,2.304747e-11,-5.32174e-08,2.167506e-10,8.701427e-10,-2.842077e-08,-3.756946e-09,-5.419538e-08,3.423832e-11,1.469447e-07
60,Vbf13,3.607639e-08,2.555728e-08,1.935292e-09,-6.161898e-10,-4.593018e-08,1.238324e-08,1.074184e-11,-2.555573e-08,9.454832e-11,3.643352e-10,-1.223797e-08,-1.455987e-09,-2.000605e-08,1.064664e-11,3.921855e-08
61,Vbf14,-1.241534e-08,-9.048599e-09,-5.881758e-10,1.339989e-10,7.956653e-09,-2.594899e-09,-1.731584e-12,5.270481e-09,-2.216663e-11,-7.149544e-11,2.91965e-09,3.756948e-10,5.399266e-09,-3.171253e-12,-1.334387e-08
62,Vbf15,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
63,Vbf16,100.0642,173.3106,186.4488,187.4476,197.3475,188.1482,188.1508,197.9996,187.9643,187.9517,187.9083,197.1808,187.2465,186.0709,115.607
64,vbfn2,36.33125,62.54222,66.92231,67.28043,84.0366,67.5324,67.53333,83.35776,67.46624,67.46171,67.4461,83.88769,67.20814,66.79091,41.95279
65,VsNADPH,0.6709723,0.8327918,0.7423465,0.6939329,0.1269795,0.8617037,0.7199916,0.1249106,0.7016893,0.6554081,0.6979138,0.1265227,0.7240415,0.7290083,0.6658955
66,vA_d,22.36241,53.49447,117.2503,193.2814,236.6247,261.2716,255.4924,227.6725,234.024,223.0948,227.7055,187.968,171.229,99.17428,26.47334
67,vA_f,0.7484366,1.542036,2.166412,2.457434,2.598671,2.704726,2.631659,2.557477,2.572778,2.477815,2.555037,2.444797,2.406723,2.040086,0.8709756
68,vA_U,5939.973,12238.38,17193.75,19503.44,20624.38,21466.08,20886.18,20297.44,20418.87,19665.19,20278.07,19403.15,19100.98,16191.16,6912.505
69,vU_A,5868.044,12105.59,17011.94,19270.37,20344.58,21206.53,20618.52,20018.0,20161.91,19402.04,20024.43,19151.87,18884.79,16019.82,6828.378
70,vU_f,0.7393735,1.525305,2.143504,2.428067,2.563418,2.672023,2.597934,2.522268,2.5404,2.444656,2.523078,2.413136,2.379483,2.018497,0.8603756
71,vU_d,19.19239,46.94994,110.1894,185.6057,219.9387,235.0095,241.6067,216.8361,223.3495,218.1378,217.7759,175.2724,162.1836,93.77787,23.52584
72,v1,296.0542,578.0508,1243.78,2090.188,1381.328,758.2633,1467.192,2173.33,1796.441,5500.465,1894.364,1431.99,1462.839,1386.028,426.8741
73,v_r1,223.3917,452.9663,1109.935,1955.627,1213.255,623.1985,1332.125,2006.615,1661.508,5365.541,1759.471,1264.215,1328.42,1252.447,342.9685
74,vS1_S2,18.16562,31.27111,33.46116,33.64021,42.0183,33.7662,33.76666,41.67888,33.73312,33.73086,33.72305,41.94384,33.60407,33.39546,20.97639
75,vS2_S3,18.16562,31.27111,33.46116,33.64021,42.0183,33.7662,33.76666,41.67888,33.73312,33.73086,33.72305,41.94384,33.60407,33.39546,20.97639
76,vS3_S0,18.16562,31.27111,33.46116,33.64021,42.0183,33.7662,33.76666,41.67888,33.73312,33.73086,33.72305,41.94384,33.60407,33.39546,20.97639
